timestamp,G1,G2,G3,G4,G5,G6,total_vehicles,Label,seconds
1970-01-01 00:09:49,1,0,0,0,0,0,1,LOW,589
1970-01-01 00:09:50,0,1,0,0,0,0,1,LOW,590
1970-01-01 00:09:52,0,0,0,0,0,1,1,LOW,592
1970-01-01 00:09:59,0,1,1,0,0,0,2,MEDIUM,599
1970-01-01 00:10:00,1,0,0,0,0,0,1,LOW,600
1970-01-01 00:10:06,0,0,0,0,0,1,1,LOW,606
1970-01-01 00:10:08,0,0,1,0,0,0,1,LOW,608
1970-01-01 00:10:09,0,1,0,0,0,0,1,LOW,609
1970-01-01 00:10:10,1,0,0,0,0,0,1,LOW,610
1970-01-01 00:10:17,0,0,1,0,0,0,1,LOW,617
1970-01-01 00:10:18,0,1,0,0,0,0,1,LOW,618
1970-01-01 00:10:20,1,0,0,1,0,0,2,MEDIUM,620
1970-01-01 00:10:27,0,1,0,0,0,0,1,LOW,627
1970-01-01 00:10:28,0,0,1,0,0,0,1,LOW,628
1970-01-01 00:10:30,0,0,0,0,1,0,1,LOW,630
1970-01-01 00:10:31,1,0,0,0,0,0,1,LOW,631
1970-01-01 00:10:34,0,0,0,0,0,1,1,LOW,634
1970-01-01 00:10:37,0,1,0,1,0,0,2,MEDIUM,637
1970-01-01 00:10:38,0,0,1,0,0,0,1,LOW,638
1970-01-01 00:10:40,1,0,0,0,0,0,1,LOW,640
1970-01-01 00:10:44,0,0,0,0,0,1,1,LOW,644
1970-01-01 00:10:47,0,0,0,1,0,0,1,LOW,647
1970-01-01 00:10:48,0,1,1,0,1,0,3,HEAVY,648
1970-01-01 00:10:50,1,0,0,0,0,0,1,LOW,650
1970-01-01 00:10:57,0,0,1,0,0,0,1,LOW,657
1970-01-01 00:10:58,0,1,0,0,0,0,1,LOW,658
1970-01-01 00:10:59,0,0,0,1,0,0,1,LOW,659
1970-01-01 00:11:00,1,0,0,0,1,0,2,MEDIUM,660
1970-01-01 00:11:01,0,0,0,0,0,1,1,LOW,661
1970-01-01 00:11:07,0,0,1,0,0,0,1,LOW,667
1970-01-01 00:11:08,0,1,0,0,0,0,1,LOW,668
1970-01-01 00:11:10,1,0,0,0,0,0,1,LOW,670
1970-01-01 00:11:14,0,0,0,0,0,1,1,LOW,674
1970-01-01 00:11:15,0,0,0,0,1,0,1,LOW,675
1970-01-01 00:11:16,0,0,0,1,0,0,1,LOW,676
1970-01-01 00:11:17,0,1,0,0,0,0,1,LOW,677
1970-01-01 00:11:18,0,0,1,0,0,0,1,LOW,678
1970-01-01 00:11:21,1,0,0,0,0,0,1,LOW,681
1970-01-01 00:11:26,0,0,0,0,1,0,1,LOW,686
1970-01-01 00:11:27,0,1,0,0,0,0,1,LOW,687
1970-01-01 00:11:28,0,0,1,0,0,0,1,LOW,688
1970-01-01 00:11:31,1,0,0,0,0,1,2,MEDIUM,691
1970-01-01 00:11:36,0,0,0,0,1,0,1,LOW,696
1970-01-01 00:11:37,0,1,0,0,0,0,1,LOW,697
1970-01-01 00:11:38,0,0,1,0,0,0,1,LOW,698
1970-01-01 00:11:41,1,0,0,0,0,0,1,LOW,701
1970-01-01 00:11:43,0,0,0,1,0,0,1,LOW,703
1970-01-01 00:11:47,0,0,1,0,0,0,1,LOW,707
1970-01-01 00:11:48,0,1,0,0,0,0,1,LOW,708
1970-01-01 00:11:52,1,0,0,0,0,0,1,LOW,712
1970-01-01 00:11:54,0,0,0,0,1,0,1,LOW,714
1970-01-01 00:11:57,0,0,1,0,0,0,1,LOW,717
1970-01-01 00:11:58,0,1,0,1,0,1,3,HEAVY,718
1970-01-01 00:12:01,1,0,0,0,0,0,1,LOW,721
1970-01-01 00:12:06,0,0,1,0,1,0,2,MEDIUM,726
1970-01-01 00:12:07,0,0,0,0,0,1,1,LOW,727
1970-01-01 00:12:08,0,1,0,0,0,0,1,LOW,728
1970-01-01 00:12:10,1,0,0,0,0,0,1,LOW,730
1970-01-01 00:12:15,0,0,1,0,0,0,1,LOW,735
1970-01-01 00:12:18,0,1,0,0,0,1,2,MEDIUM,738
1970-01-01 00:12:20,1,0,0,1,1,0,3,HEAVY,740
1970-01-01 00:12:24,0,0,1,0,0,0,1,LOW,744
1970-01-01 00:12:27,0,1,0,0,0,0,1,LOW,747
1970-01-01 00:12:30,1,0,0,0,0,0,1,LOW,750
1970-01-01 00:12:31,0,0,0,1,0,0,1,LOW,751
1970-01-01 00:12:32,0,0,0,0,1,0,1,LOW,752
1970-01-01 00:12:34,0,0,1,0,0,0,1,LOW,754
1970-01-01 00:12:36,0,0,0,0,0,1,1,LOW,756
1970-01-01 00:12:37,0,1,0,0,0,0,1,LOW,757
1970-01-01 00:12:39,1,0,0,0,0,0,1,LOW,759
1970-01-01 00:12:43,0,0,0,1,0,0,1,LOW,763
1970-01-01 00:12:45,0,0,1,0,0,0,1,LOW,765
1970-01-01 00:12:47,0,1,0,0,1,1,3,HEAVY,767
1970-01-01 00:12:48,1,0,0,0,0,0,1,LOW,768
1970-01-01 00:12:53,0,0,0,1,0,0,1,LOW,773
1970-01-01 00:12:57,0,0,0,0,0,1,1,LOW,777
1970-01-01 00:12:58,0,1,1,0,0,0,2,MEDIUM,778
1970-01-01 00:13:00,1,0,0,0,1,0,2,MEDIUM,780
1970-01-01 00:13:05,0,0,0,1,0,0,1,LOW,785
1970-01-01 00:13:07,0,1,1,0,0,1,3,HEAVY,787
1970-01-01 00:13:12,1,0,0,0,0,0,1,LOW,792
1970-01-01 00:13:16,0,0,0,0,1,0,1,LOW,796
1970-01-01 00:13:17,0,1,1,0,0,1,3,HEAVY,797
1970-01-01 00:13:21,1,0,0,0,0,0,1,LOW,801
1970-01-01 00:13:25,0,0,0,1,0,0,1,LOW,805
1970-01-01 00:13:26,0,0,0,0,1,0,1,LOW,806
1970-01-01 00:13:27,0,1,0,0,0,0,1,LOW,807
1970-01-01 00:13:28,0,0,1,0,0,0,1,LOW,808
1970-01-01 00:13:29,0,0,0,0,0,1,1,LOW,809
1970-01-01 00:13:30,1,0,0,0,0,0,1,LOW,810
1970-01-01 00:13:36,0,0,0,1,0,0,1,LOW,816
1970-01-01 00:13:38,0,1,1,0,0,0,2,MEDIUM,818
1970-01-01 00:13:40,1,0,0,0,0,0,1,LOW,820
1970-01-01 00:13:44,0,0,0,0,1,0,1,LOW,824
1970-01-01 00:13:47,0,0,1,1,0,1,3,HEAVY,827
1970-01-01 00:13:48,0,1,0,0,0,0,1,LOW,828
1970-01-01 00:13:50,1,0,0,0,0,0,1,LOW,830
1970-01-01 00:13:56,0,0,0,0,0,1,1,LOW,836
1970-01-01 00:13:57,0,0,1,0,0,0,1,LOW,837
1970-01-01 00:13:58,0,0,0,1,0,0,1,LOW,838
1970-01-01 00:13:59,0,0,0,0,1,0,1,LOW,839
1970-01-01 00:14:00,1,0,0,0,0,0,1,LOW,840
1970-01-01 00:14:01,0,1,0,0,0,0,1,LOW,841
1970-01-01 00:14:07,0,0,0,0,0,1,1,LOW,847
1970-01-01 00:14:08,0,0,0,1,0,0,1,LOW,848
1970-01-01 00:14:09,1,0,1,0,0,0,2,MEDIUM,849
1970-01-01 00:14:11,0,1,0,0,0,0,1,LOW,851
1970-01-01 00:14:17,0,0,0,0,0,1,1,LOW,857
1970-01-01 00:14:19,1,0,1,0,0,0,2,MEDIUM,859
1970-01-01 00:14:20,0,1,0,0,0,0,1,LOW,860
1970-01-01 00:14:22,0,0,0,0,1,0,1,LOW,862
1970-01-01 00:14:25,0,0,0,1,0,0,1,LOW,865
1970-01-01 00:14:27,0,0,0,0,0,1,1,LOW,867
1970-01-01 00:14:30,1,1,1,0,0,0,3,HEAVY,870
1970-01-01 00:14:37,0,0,0,0,1,0,1,LOW,877
1970-01-01 00:14:39,0,1,0,0,0,0,1,LOW,879
1970-01-01 00:14:40,1,0,0,0,0,0,1,LOW,880
1970-01-01 00:14:41,0,0,1,1,0,0,2,MEDIUM,881
1970-01-01 00:14:49,0,1,0,0,0,0,1,LOW,889
1970-01-01 00:14:50,1,0,1,0,0,0,2,MEDIUM,890
1970-01-01 00:14:51,0,0,0,1,0,0,1,LOW,891
1970-01-01 00:14:54,0,0,0,0,1,0,1,LOW,894
1970-01-01 00:14:55,0,0,0,0,0,1,1,LOW,895
1970-01-01 00:14:59,0,0,1,0,0,0,1,LOW,899
1970-01-01 00:15:00,1,1,0,0,1,0,3,HEAVY,900
1970-01-01 00:15:01,0,0,0,1,0,1,2,MEDIUM,901
1970-01-01 00:15:04,0,1,0,0,0,0,1,LOW,904
1970-01-01 00:15:05,0,0,1,0,0,0,1,LOW,905
1970-01-01 00:15:08,1,0,0,0,0,0,1,LOW,908
1970-01-01 00:15:11,0,0,0,0,0,1,1,LOW,911
1970-01-01 00:15:12,0,0,0,1,1,0,2,MEDIUM,912
1970-01-01 00:15:18,0,0,1,0,0,0,1,LOW,918
1970-01-01 00:15:19,0,1,0,0,0,0,1,LOW,919
1970-01-01 00:15:21,0,0,0,1,1,0,2,MEDIUM,921
1970-01-01 00:15:22,1,0,0,0,0,1,2,MEDIUM,922
1970-01-01 00:15:31,0,1,1,1,1,1,5,HEAVY,931
1970-01-01 00:15:38,1,0,0,0,0,0,1,LOW,938
